Average Domestic Airline Itinerary Fares By Origin City for Q1 2020 Ranked by Total Number of Domestic Passengers in 2022,,,,,,,,,,,,,,,,,,
2022 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q1-2023),2022 Passengers (10% sample),,,,,,,,,,,
182,MLB,Melbourne Orlando International,Melbourne,FL,411.58,479.09," 10,953 ",,,,,,,,,,,
183,MRY,Monterey Regional,Monterey,CA,377.38,439.28," 10,873 ",,,,,,,,,,,
184,TRI,Tri Cities,Bristol/Johnson City/Kingsport,TN,479.41,558.04," 10,728 ",,,,,,,,,,,
185,FAY,Fayetteville Regional/Grannis Field,Fayetteville,NC,413.26,481.05," 10,358 ",,,,,,,,,,,
186,CRW,West Virginia International Yeager,Charleston/Dunbar,WV,472.58,550.09," 9,810 ",,,,,,,,,,,
187,EVV,Evansville Regional,Evansville,IN,426.75,496.74," 9,387 ",,,,,,,,,,,
188,RFD,Chicago/Rockford International,Rockford,IL,166.36,193.65," 9,274 ",,,,,,,,,,,
189,ASE,Aspen Pitkin County Sardy Field,Aspen,CO,540.67,629.36," 9,218 ",,,,,,,,,,,
190,LBE,Arnold Palmer Regional,Latrobe,PA,121.50,141.43," 9,092 ",,,,,,,,,,,
191,MTJ,Montrose Regional,Montrose/Delta,CO,428.31,498.56," 9,054 ",,,,,,,,,,,
192,BFL,Meadows Field,Bakersfield,CA,441.03,513.37," 8,923 ",,,,,,,,,,,
193,DRO,Durango La Plata County,Durango,CO,482.80,561.99," 8,918 ",,,,,,,,,,,
194,OAJ,Albert J Ellis,Jacksonville/Camp Lejeune,NC,372.81,433.96," 8,869 ",,,,,,,,,,,
195,MOT,Minot International,Minot,ND,402.16,468.12," 8,807 ",,,,,,,,,,,
196,SWF,New York Stewart International,Newburgh/Poughkeepsie,NY,285.91,332.81," 8,758 ",,,,,,,,,,,
197,GTF,Great Falls International,Great Falls,MT,397.07,462.20," 8,402 ",,,,,,,,,,,
198,STX,Henry E. Rohlsen,Christiansted,VI,454.63,529.21," 8,289 ",,,,,,,,,,,
199,MGM,Montgomery Regional,Montgomery,AL,503.81,586.45," 8,028 ",,,,,,,,,,,
200,BRO,Brownsville South Padre Island International,Brownsville,TX,390.12,454.12," 7,585 ",,,,,,,,,,,
201,DLH,Duluth International,Duluth,MN,420.41,489.37," 7,502 ",,,,,,,,,,,
202,LRD,Laredo International,Laredo,TX,417.62,486.12," 7,490 ",,,,,,,,,,,
203,PSE,Mercedita,Ponce,PR,204.65,238.22," 7,458 ",,,,,,,,,,,
204,USA,Concord Padgett Regional,Concord,NC,117.75,137.06," 7,251 ",,,,,,,,,,,
205,ACV,California Redwood Coast Humboldt County,Arcata/Eureka,CA,467.39,544.05," 7,025 ",,,,,,,,,,,
206,SGU,St George Regional,St. George,UT,389.65,453.57," 6,671 ",,,,,,,,,,,
207,SCE,University Park,State College,PA,430.16,500.72," 6,663 ",,,,,,,,,,,
208,HTS,Tri-State/Milton J. Ferguson Field,Ashland,WV,253.07,294.58," 6,529 ",,,,,,,,,,,
209,RDD,Redding Regional,Redding,CA,493.01,573.88," 6,359 ",,,,,,,,,,,
210,GRK,Robert Gray AAF,Killeen,TX,386.56,449.97," 6,319 ",,,,,,,,,,,
211,HDN,Yampa Valley,Hayden,CO,456.86,531.80," 6,118 ",,,,,,,,,,,
212,EGE,Eagle County Regional,Eagle,CO,560.43,652.35," 5,888 ",,,,,,,,,,,
213,AEX,Alexandria International,Alexandria,LA,481.08,559.99," 5,783 ",,,,,,,,,,,
214,GFK,Grand Forks International,Grand Forks,ND,415.88,484.09," 5,737 ",,,,,,,,,,,
215,TOL,Eugene F Kranz Toledo Express,Toledo,OH,242.51,282.29," 5,651 ",,,,,,,,,,,
216,SCK,Stockton Metro,Stockton,CA,141.33,164.51," 5,611 ",,,,,,,,,,,
217,PBG,Plattsburgh International,Plattsburgh,NY,224.68,261.54," 5,586 ",,,,,,,,,,,
218,ORH,Worcester Regional,Worcester,MA,319.98,372.47," 5,549 ",,,,,,,,,,,
219,ELM,Elmira/Corning Regional,Elmira/Corning,NY,349.38,406.69," 5,505 ",,,,,,,,,,,
220,BET,Bethel Airport,Bethel,AK,367.21,427.44," 5,312 ",,,,,,,,,,,
221,YUM,Yuma MCAS/Yuma International,Yuma,AZ,453.32,527.67," 5,258 ",,,,,,,,,,,
222,SAF,Santa Fe Municipal,Santa Fe,NM,405.33,471.82," 5,229 ",,,,,,,,,,,
223,GUM,Guam International,Guam,TT,1201.57,1398.66," 5,218 ",,,,,,,,,,,
224,MLU,Monroe Regional,Monroe,LA,462.37,538.21," 5,172 ",,,,,,,,,,,
225,KTN,Ketchikan International,Ketchikan,AK,477.37,555.68," 5,128 ",,,,,,,,,,,
226,LNK,Lincoln Airport,Lincoln,NE,459.78,535.19," 5,025 ",,,,,,,,,,,
227,RST,Rochester International,Rochester,MN,396.49,461.52," 4,946 ",,,,,,,,,,,
228,ACK,Nantucket Memorial,Nantucket,MA,528.65,615.36," 4,855 ",,,,,,,,,,,
229,LYH,Lynchburg Regional/Preston Glenn Field,Lynchburg,VA,451.86,525.98," 4,846 ",,,,,,,,,,,
230,SPI,Abraham Lincoln Capital,Springfield,IL,332.51,387.05," 4,759 ",,,,,,,,,,,
231,COU,Columbia Regional,Columbia,MO,421.58,490.73," 4,756 ",,,,,,,,,,,
232,PHF,Newport News/Williamsburg International,Newport News/Williamsburg,VA,455.48,530.19," 4,741 ",,,,,,,,,,,
233,LAN,Capital Region International,Lansing,MI,406.19,472.81," 4,701 ",,,,,,,,,,,
234,CWA,Central Wisconsin,Mosinee,WI,472.94,550.52," 4,682 ",,,,,,,,,,,
235,MHK,Manhattan Regional,Manhattan/Ft. Riley,KS,524.35,610.36," 4,620 ",,,,,,,,,,,
236,HLN,Helena Regional,Helena,MT,484.57,564.05," 4,615 ",,,,,,,,,,,
237,AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,458.35,533.54," 4,485 ",,,,,,,,,,,
238,GRI,Central Nebraska Regional,Grand Island,NE,293.58,341.74," 4,448 ",,,,,,,,,,,
239,MBS,MBS International,Saginaw/Bay City/Midland,MI,517.51,602.39," 4,353 ",,,,,,,,,,,
240,XWA,Williston Basin International,Williston,ND,605.65,704.99," 4,339 ",,,,,,,,,,,
241,IAG,Niagara Falls International,Niagara Falls,NY,169.90,197.77," 4,309 ",,,,,,,,,,,
242,HHH,Hilton Head Airport,Hilton Head,SC,431.30,502.04," 4,200 ",,,,,,,,,,,
243,FLG,Flagstaff Pulliam,Flagstaff,AZ,378.70,440.82," 4,171 ",,,,,,,,,,,
244,ABI,Abilene Regional,Abilene,TX,541.33,630.12," 4,165 ",,,,,,,,,,,
245,PUW,Pullman Moscow Regional,Pullman,WA,372.30,433.36," 4,162 ",,,,,,,,,,,
246,CSG,Columbus Airport,Columbus,GA,474.33,552.13," 4,148 ",,,,,,,,,,,
247,CPR,Casper/Natrona County International,Casper,WY,530.03,616.96," 4,132 ",,,,,,,,,,,
248,ERI,Erie International/Tom Ridge Field,Erie,PA,378.83,440.97," 4,108 ",,,,,,,,,,,
